# 512^2 radial Temperature Profile at t = 2.03*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
195	 0.3789100000	1.695102334022522
196	 0.3808600000	1.6873676776885986
197	 0.3828100000	1.6796036958694458
198	 0.3847700000	1.6718136072158813
199	 0.3867200000	1.664000153541565
200	 0.3886700000	1.656166434288025
201	 0.3906300000	1.6483150720596313
202	 0.3925800000	1.6404491662979126
203	 0.3945300000	1.6325714588165283
204	 0.3964800000	1.6246846914291382
205	 0.3984400000	1.6167916059494019
206	 0.4003900000	1.6088950634002686
207	 0.4023400000	1.6009976863861084
208	 0.4043000000	1.593102216720581
209	 0.4062500000	1.5852112770080566
210	 0.4082000000	1.5773273706436157
211	 0.4101600000	1.5694531202316284
212	 0.4121100000	1.5615911483764648
213	 0.4140600000	1.5537437200546265
214	 0.4160200000	1.5459134578704834
215	 0.4179700000	1.538102626800537
216	 0.4199200000	1.5303136110305786
217	 0.4218800000	1.522548794746399
218	 0.4238300000	1.51481032371521
219	 0.4257800000	1.5071004629135132
220	 0.4277300000	1.49942147731781
221	 0.4296900000	1.491775393486023
222	 0.4316400000	1.4841642379760742
223	 0.4335900000	1.4765900373458862
224	 0.4355500000	1.4690548181533813
225	 0.4375000000	1.4615604877471924
226	 0.4394500000	1.4541088342666626
227	 0.4414100000	1.4467018842697144
228	 0.4433600000	1.4393410682678223
229	 0.4453100000	1.4320284128189087
230	 0.4472700000	1.4247654676437378
231	 0.4492200000	1.4175537824630737
232	 0.4511700000	1.4103949069976807
233	 0.4531300000	1.4032905101776123
234	 0.4550800000	1.3962417840957642
235	 0.4570300000	1.38925039768219
236	 0.4589800000	1.3823174238204956
237	 0.4609400000	1.3754442930221558
238	 0.4628900000	1.3686323165893555
239	 0.4648400000	1.3618824481964111
240	 0.4668000000	1.3551959991455078
241	 0.4687500000	1.3485740423202515
242	 0.4707000000	1.342017412185669
243	 0.4726600000	1.3355273008346558
244	 0.4746100000	1.3291045427322388
245	 0.4765600000	1.3227500915527344
246	 0.4785200000	1.3164645433425903
247	 0.4804700000	1.310248851776123
248	 0.4824200000	1.3041037321090698
249	 0.4843800000	1.2980297803878784
250	 0.4863300000	1.2920275926589966
251	 0.4882800000	1.286097764968872
252	 0.4902300000	1.280240774154663
253	 0.4921900000	1.274457335472107
254	 0.4941400000	1.2687475681304932
255	 0.4960900000	1.26311194896698
256	 0.4980500000	1.257550835609436
257	 0.5000000000	1.25206458568573
